# job=001_diagnose_mlsp_outputs exit=0 duration_s=181 host=stone-ye-PC finished=2026-09-08T21:46:05-04:00
# (last 4000 lines; full log: runner/logs/001_diagnose_mlsp_outputs.full.log on stone-ye-PC)
audio dir: /home/stoneyey/Desktop/MIC/outputs/generated_audio  (189 wavs)
prompt1_alternating_baseline.wav                        coh_true=0.000 coh_first=0.000 best_const=0.355(pc9) frac_F=0.000
prompt1_alternating_combined.wav                        coh_true=0.435 coh_first=0.995 best_const=0.995(pc5) frac_F=0.997
prompt1_alternating_itc.wav                             coh_true=0.021 coh_first=0.000 best_const=0.314(pc9) frac_F=0.000
prompt1_alternating_probe_high.wav                      coh_true=0.329 coh_first=0.961 best_const=0.961(pc5) frac_F=0.974
prompt1_alternating_probe_low.wav                       coh_true=0.418 coh_first=0.950 best_const=0.950(pc5) frac_F=0.967
prompt1_alternating_probe_mid.wav                       coh_true=0.369 coh_first=0.934 best_const=0.934(pc5) frac_F=0.955
prompt1_alternating_probe_strong.wav                    coh_true=0.325 coh_first=0.941 best_const=0.941(pc5) frac_F=0.960
prompt1_ascending_baseline.wav                          coh_true=0.000 coh_first=0.000 best_const=0.399(pc9) frac_F=0.000
prompt1_ascending_combined.wav                          coh_true=0.270 coh_first=0.976 best_const=0.976(pc5) frac_F=0.981
prompt1_ascending_itc.wav                               coh_true=0.025 coh_first=0.000 best_const=0.356(pc9) frac_F=0.000
prompt1_ascending_probe_high.wav                        coh_true=0.258 coh_first=0.940 best_const=0.940(pc5) frac_F=0.951
prompt1_ascending_probe_low.wav                         coh_true=0.335 coh_first=1.000 best_const=1.000(pc5) frac_F=1.000
prompt1_ascending_probe_mid.wav                         coh_true=0.268 coh_first=0.961 best_const=0.961(pc5) frac_F=0.966
prompt1_ascending_probe_strong.wav                      coh_true=0.262 coh_first=0.946 best_const=0.946(pc5) frac_F=0.957
prompt1_descending_baseline.wav                         coh_true=0.069 coh_first=0.000 best_const=0.399(pc9) frac_F=0.000
prompt1_descending_combined.wav                         coh_true=0.274 coh_first=0.947 best_const=0.947(pc5) frac_F=0.957
prompt1_descending_itc.wav                              coh_true=0.132 coh_first=0.000 best_const=0.368(pc9) frac_F=0.000
prompt1_descending_probe_high.wav                       coh_true=0.259 coh_first=0.946 best_const=0.946(pc5) frac_F=0.957
prompt1_descending_probe_low.wav                        coh_true=0.318 coh_first=1.000 best_const=1.000(pc5) frac_F=1.000
prompt1_descending_probe_mid.wav                        coh_true=0.271 coh_first=0.961 best_const=0.961(pc5) frac_F=0.969
prompt1_descending_probe_strong.wav                     coh_true=0.262 coh_first=0.946 best_const=0.946(pc5) frac_F=0.957
prompt2_alternating_baseline.wav                        coh_true=0.340 coh_first=0.007 best_const=0.875(pc0) frac_F=0.006
prompt2_alternating_combined.wav                        coh_true=0.506 coh_first=0.711 best_const=0.711(pc5) frac_F=0.814
prompt2_alternating_itc.wav                             coh_true=0.209 coh_first=0.000 best_const=0.541(pc0) frac_F=0.000
prompt2_alternating_probe_high.wav                      coh_true=0.328 coh_first=0.657 best_const=0.657(pc5) frac_F=0.758
prompt2_alternating_probe_low.wav                       coh_true=0.253 coh_first=0.318 best_const=0.318(pc5) frac_F=0.510
prompt2_alternating_probe_mid.wav                       coh_true=0.387 coh_first=0.592 best_const=0.592(pc5) frac_F=0.728
prompt2_alternating_probe_strong.wav                    coh_true=0.307 coh_first=0.653 best_const=0.653(pc5) frac_F=0.766
prompt2_ascending_baseline.wav                          coh_true=0.228 coh_first=0.006 best_const=0.754(pc0) frac_F=0.006
prompt2_ascending_combined.wav                          coh_true=0.432 coh_first=0.628 best_const=0.628(pc5) frac_F=0.729
prompt2_ascending_itc.wav                               coh_true=0.215 coh_first=0.000 best_const=0.541(pc0) frac_F=0.000
prompt2_ascending_probe_high.wav                        coh_true=0.369 coh_first=0.551 best_const=0.551(pc5) frac_F=0.652
prompt2_ascending_probe_low.wav                         coh_true=0.335 coh_first=0.467 best_const=0.467(pc5) frac_F=0.571
prompt2_ascending_probe_mid.wav                         coh_true=0.400 coh_first=0.467 best_const=0.467(pc5) frac_F=0.562
prompt2_ascending_probe_strong.wav                      coh_true=0.389 coh_first=0.580 best_const=0.580(pc5) frac_F=0.674
prompt2_descending_baseline.wav                         coh_true=0.251 coh_first=0.006 best_const=0.754(pc0) frac_F=0.006
prompt2_descending_combined.wav                         coh_true=0.303 coh_first=0.678 best_const=0.678(pc5) frac_F=0.769
prompt2_descending_itc.wav                              coh_true=0.273 coh_first=0.000 best_const=0.674(pc0) frac_F=0.000
prompt2_descending_probe_high.wav                       coh_true=0.226 coh_first=0.568 best_const=0.568(pc5) frac_F=0.681
prompt2_descending_probe_low.wav                        coh_true=0.230 coh_first=0.474 best_const=0.474(pc5) frac_F=0.570
prompt2_descending_probe_mid.wav                        coh_true=0.269 coh_first=0.487 best_const=0.487(pc5) frac_F=0.602
prompt2_descending_probe_strong.wav                     coh_true=0.230 coh_first=0.518 best_const=0.518(pc5) frac_F=0.646
prompt3_alternating_baseline.wav                        coh_true=0.198 coh_first=0.000 best_const=0.654(pc3) frac_F=0.000
prompt3_alternating_combined.wav                        coh_true=0.252 coh_first=0.550 best_const=0.550(pc5) frac_F=0.565
prompt3_alternating_itc.wav                             coh_true=0.151 coh_first=0.000 best_const=0.774(pc3) frac_F=0.000
prompt3_alternating_probe_high.wav                      coh_true=0.260 coh_first=0.692 best_const=0.692(pc5) frac_F=0.781
prompt3_alternating_probe_low.wav                       coh_true=0.216 coh_first=0.220 best_const=0.487(pc3) frac_F=0.146
prompt3_alternating_probe_mid.wav                       coh_true=0.175 coh_first=0.557 best_const=0.557(pc5) frac_F=0.610
prompt3_alternating_probe_strong.wav                    coh_true=0.299 coh_first=0.708 best_const=0.708(pc5) frac_F=0.796
prompt3_ascending_baseline.wav                          coh_true=0.154 coh_first=0.000 best_const=0.564(pc3) frac_F=0.000
prompt3_ascending_combined.wav                          coh_true=0.159 coh_first=0.263 best_const=0.437(pc3) frac_F=0.261
prompt3_ascending_itc.wav                               coh_true=0.109 coh_first=0.000 best_const=0.663(pc3) frac_F=0.000
prompt3_ascending_probe_high.wav                        coh_true=0.228 coh_first=0.714 best_const=0.714(pc5) frac_F=0.773
prompt3_ascending_probe_low.wav                         coh_true=0.129 coh_first=0.180 best_const=0.475(pc3) frac_F=0.140
prompt3_ascending_probe_mid.wav                         coh_true=0.253 coh_first=0.365 best_const=0.400(pc3) frac_F=0.291
prompt3_ascending_probe_strong.wav                      coh_true=0.258 coh_first=0.729 best_const=0.729(pc5) frac_F=0.788
prompt3_descending_baseline.wav                         coh_true=0.255 coh_first=0.000 best_const=0.564(pc3) frac_F=0.000
prompt3_descending_combined.wav                         coh_true=0.098 coh_first=0.225 best_const=0.327(pc3) frac_F=0.172
prompt3_descending_itc.wav                              coh_true=0.260 coh_first=0.000 best_const=0.669(pc3) frac_F=0.000
