position,progress,n,R_at,d_coherence_mlsp,d_coherence_mlsp_lo,d_coherence_mlsp_hi,d_coherence_w2s,d_coherence_w2s_lo,d_coherence_w2s_hi,d_chroma_cos,d_chroma_cos_lo,d_chroma_cos_hi,d_clap,d_clap_lo,d_clap_hi,d_bce0,d_bce0_lo,d_bce0_hi,logmel_l1,logmel_l1_lo,logmel_l1_hi,d_coherence_firstnote,d_coherence_firstnote_lo,d_coherence_firstnote_hi
2,0.06,50,0.3068364799022675,0.00355874196557921,-0.009550999185241785,0.01538667201601221,0.011408681194260847,-0.004461275385496299,0.026825713187221028,0.014704560190439224,0.00850998906046152,0.02205480609834193,,,,-0.017513573169708252,-0.025708874680101874,-0.010663970544934275,0.14266892183572055,0.11237533834669738,0.17652389538101848,0.002699084203597859,-0.0002842011246806433,0.005849761296669842
6,0.14,50,0.3012900799512863,0.003623417476381966,-0.008736021820091502,0.015068900407881369,0.01327099003983073,-0.0024130210009934944,0.028950336327795517,0.01707375153899193,0.009430916681885719,0.02541310092061758,,,,-0.01972396522760391,-0.027540904954075816,-0.012939147040247923,0.2502371077612042,0.1924611951028928,0.3123842088291421,0.012871848481521201,0.0043743767574436826,0.02275364326572329
10,0.22,50,0.2920644164085388,0.0054817670136167425,-0.009606696509274523,0.01980315054063154,0.01357646687491914,-0.003357272587595622,0.030063986893465882,0.029156337082386016,0.016291404124349356,0.043271658644080155,,,,-0.02961899518966675,-0.038412404179573055,-0.02149727265536785,0.3370252887159586,0.26839336984604595,0.4090867849793285,0.014393157036432083,0.0049018115450125055,0.025748549584810994
14,0.3,50,0.28239041566848755,0.009409501254768011,-0.013690868113741242,0.03261755170706578,0.015109378015178117,-0.003956406725314419,0.035925397523652314,0.05049514636397362,0.03210172104090452,0.07181265467777845,,,,-0.04516268074512482,-0.059269409716129304,-0.03291708020865917,0.4353662680089474,0.3591685916855931,0.5170512445867061,0.012265015484872575,-0.0012925348290303924,0.026826621290949093
18,0.38,50,0.2959552049636841,0.05196192547432336,0.021077817484561202,0.08382202825472959,0.05682461191289887,0.028904965185801833,0.08735454049552033,0.07379351615905762,0.048422879520803694,0.10114530235156416,,,,-0.06453085035085677,-0.08541927722096443,-0.04690826120227576,0.5709456244111061,0.4872114176079631,0.6618034912273287,0.05872181836516539,0.019077606666632035,0.10215554569166255
22,0.46,50,0.293950629234314,0.08537013896405594,0.049803604586803864,0.12206183469276746,0.07735670826861588,0.04428265143181346,0.11301787049147721,0.09206510037183761,0.0662579173259437,0.1200736825466156,,,,-0.08210382491350174,-0.10488511672616005,-0.06226989624649287,0.6584529912471772,0.5650921609550715,0.762970984622836,0.10946260572101649,0.05765522937897706,0.1719652113367525
26,0.54,50,0.2920795351266861,0.10373248000225116,0.07173349817271249,0.13749929627225008,0.09533056922316438,0.06407395735419354,0.12882641007464712,0.12768269196152687,0.101572355017066,0.1553064974397421,,,,-0.10864506393671036,-0.13270513081550597,-0.08644774091243745,0.5323166918754577,0.4805640497654677,0.5870883854180574,0.12161338740172202,0.07317942263506397,0.1784175761312669
30,0.62,50,0.3208909183740616,0.07554522101972315,0.051361268387842614,0.10007635514473799,0.07173204833410451,0.04947029320712223,0.09496211236326114,0.11605494305491447,0.09274497039243579,0.14032116948813197,,,,-0.11070137292146683,-0.131335952475667,-0.09107647537440061,0.43934734389185903,0.38838667145371436,0.49469817572459573,0.05130361067946609,0.03111061585052512,0.07419235392321523
34,0.7,50,0.33043893575668337,0.05126729232357661,0.034077993987167224,0.07058160186545691,0.04966882447227319,0.030678470564468138,0.06933262511167618,0.09002868846058845,0.07249956042692064,0.108678218703717,,,,-0.0930144441127777,-0.10863706917315721,-0.07858073396235704,0.2659549941122532,0.24259467965364456,0.2893027874305844,0.014350903144434572,0.003746016297558005,0.026060136187174933
38,0.78,50,0.38898091912269595,0.026076403749619968,0.01565464134858715,0.037807915391363134,0.028366991652712663,0.015020631982725055,0.04148992366333854,0.06469675943255425,0.05424878991022706,0.07633070760592818,,,,-0.09804114446043968,-0.11076888343691825,-0.08612575287371875,0.19715959459543228,0.18415588193014262,0.21053671157360077,-0.00032950735940584204,-0.008510153982423822,0.008576646859873962
42,0.86,50,0.46381416022777555,0.03059206728033904,0.01818420983112351,0.044857152301305776,0.02528508208942772,0.013350617500460462,0.03733380283467628,0.055591520220041275,0.04831948224082589,0.06325645864754914,,,,-0.11421770125627517,-0.12560397566109896,-0.1036796793192625,0.19227845206856728,0.17930218403041365,0.20635578582063316,0.0018737876976017262,-0.006479835382024446,0.010811271918872958
46,0.94,50,0.4841796785593033,0.026906721361573,0.013836903310948511,0.04154777656280094,0.027051425803315675,0.016282908961300933,0.039307829894120835,0.053357213139533996,0.04729326978698373,0.0592047765739262,,,,-0.1381784860789776,-0.14859871669486166,-0.12849071606993676,0.21128781169652938,0.19728689945489167,0.22683940976113076,0.002831695773496233,-0.0041476985446495885,0.010202623751183594
