method,n_x,coherence_mlsp,coherence_mlsp_lo,coherence_mlsp_hi,coherence_w2s,coherence_w2s_lo,coherence_w2s_hi,chroma_cos,chroma_cos_lo,chroma_cos_hi,clap,clap_lo,clap_hi,coherence_firstnote,coherence_firstnote_lo,coherence_firstnote_hi,n_updates,n_updates_lo,n_updates_hi,runtime_s,runtime_s_lo,runtime_s_hi,p_coherence_mlsp_vs_mlsp,d_coherence_mlsp_vs_mlsp,p_clap_vs_mlsp,d_clap_vs_mlsp,p_coherence_mlsp_vs_sao,d_coherence_mlsp_vs_sao,p_clap_vs_sao,d_clap_vs_sao,p_coherence_mlsp_vs_mlsp_holm,p_clap_vs_mlsp_holm,p_coherence_mlsp_vs_sao_holm,p_clap_vs_sao_holm,n_y,fad_clap_maestro,fad_clap_sao
sao,15,0.14260871475840897,0.08065697694637709,0.20743884939711174,0.1369222818525144,0.08125901411250246,0.1946347048300536,0.3021445691585541,0.2589910737921794,0.35088779866695397,0.3851381738980611,0.3455377459526062,0.42473860184351603,0.24050203365996495,0.1367798004610222,0.3535654802908534,0.0,0.0,0.0,3.1992570877075197,3.1821387179692584,3.2243277446428933,6.103515625e-05,-0.30055719659648755,0.03533935546875,-0.024959045648574842,,,,,0.00054931640625,0.2120361328125,,,15,1.0811996839571325,0.0
early,15,0.18563568482966933,0.13460833024678462,0.23717476409773272,0.16560410258252384,0.1136000940261352,0.21909907404100748,0.330852202574412,0.2839101078857978,0.37921551478405785,0.3946492572625478,0.3416709463298321,0.4475854733089606,0.15786020782432314,0.05327743820033642,0.2808541940115183,15.0,15.0,15.0,3.2146018028259276,3.205864144961039,3.223149933417638,6.103515625e-05,-0.2575302265252272,0.1876220703125,-0.01544796228408813,0.12054443359375,0.04302697007126037,0.389404296875,0.009511083364486715,0.00054931640625,0.75048828125,0.12054443359375,0.67529296875,15,1.0094704235153324,0.0622121118678643
mid,15,0.5752521570201927,0.4627070326906139,0.688220309799628,0.5339938766944731,0.41554127261164303,0.6549256959643979,0.6505203545093536,0.5711126656830311,0.7305017866194248,0.3498780161142349,0.2800273319333792,0.4191520362595717,0.35614697710568843,0.2779120097975504,0.44516888716913394,15.0,15.0,15.0,3.2176366170247395,3.207422595024109,3.2262800204753876,0.01025390625,0.13208624566529611,0.00335693359375,-0.060219203432401024,6.103515625e-05,0.43264344226178364,0.1688232421875,-0.03526015778382618,0.05126953125,0.02349853515625,0.00054931640625,0.67529296875,15,0.9946864025262584,0.3116432332223142
late,15,0.46718706907036167,0.38685479198178035,0.5492928499171539,0.35241663568156234,0.28738991218642385,0.4256297810471786,0.53778977394104,0.4960843198001385,0.577903518974781,0.41313161651293434,0.36625595033168795,0.45970636313160257,0.359714110836857,0.2762301731861993,0.4384140996217697,15.0,15.0,15.0,3.2235961119333902,3.21554829676946,3.233235146999359,0.207763671875,0.024021157715465,1.0,0.0030343969662984306,6.103515625e-05,0.3245783543119526,0.00836181640625,0.027993442614873278,0.623291015625,1.0,0.00054931640625,0.06689453125,15,1.0166434124792008,0.1568625115012255
uniform,15,0.3896618763079216,0.3023891554262595,0.4877750396835341,0.3541246089597393,0.26146029771064316,0.4589184228455018,0.5036027471224467,0.4357363840937615,0.5772728886703651,0.39668338298797606,0.3389767595132192,0.4522416543463866,0.306916333133038,0.1921481793402748,0.4186592108435374,15.0,15.0,15.0,3.219481579462687,3.210386292139689,3.2277245918909707,0.01507568359375,-0.05350403504697486,0.04791259765625,-0.013413836558659872,6.103515625e-05,0.24705316154951268,0.1876220703125,0.011545209089914972,0.060302734375,0.23956298828125,0.00054931640625,0.67529296875,15,1.0238733515038096,0.1510435711014879
mlsp,15,0.4431659113548966,0.34781945616476395,0.5476482759090722,0.3979467755737555,0.30516027887311087,0.5051218477283365,0.5830722630023957,0.5216763348380724,0.6504598758618038,0.41009721954663597,0.3504482387502988,0.4663683239618937,0.3475383777049565,0.24144409052867444,0.4566321230214421,15.0,15.0,15.0,3.2174117883046467,3.2073380068937936,3.226579282681147,,,,,6.103515625e-05,0.30055719659648755,0.03533935546875,0.024959045648574842,,,0.00054931640625,0.2120361328125,15,1.017547451512761,0.2088426386505185
rapg_cal_f1,15,0.442426308942424,0.3689486860246441,0.5205062460246661,0.34362230884502576,0.27918613956662414,0.41744547689342776,0.5332579831282298,0.4932595850030581,0.5717342802385489,0.4133072257041931,0.3658158420523007,0.46041188786427173,0.35935062824237357,0.2720279460844449,0.44432904072184537,15.0,15.0,15.0,3.2186002254486086,3.2096266333262125,3.2266348191102345,0.389404296875,-0.0007396024124724546,0.93408203125,0.0032100061575571787,6.103515625e-05,0.2998175941840151,0.0067138671875,0.028169051806132026,0.623291015625,1.0,0.00054931640625,0.0604248046875,15,1.012241889959525,0.1539173400379544
rapg_cal_dc,15,0.6076870440665875,0.49390187258328994,0.7174329143523894,0.5613725063836703,0.44224041189421887,0.6790035851474064,0.6773362259070078,0.600210242420435,0.751355577558279,0.34888185262680055,0.2795008885860443,0.418945891559124,0.3701339793866466,0.2827965906711163,0.4704252757840491,15.0,15.0,15.0,3.221324364344279,3.2117122443517045,3.230229019721349,0.00152587890625,0.16452113271169105,0.0006103515625,-0.06121536691983541,6.103515625e-05,0.46507832930817855,0.10699462890625,-0.036256321271260564,0.01068115234375,0.0054931640625,0.00054931640625,0.53497314453125,15,0.9888871312835684,0.320360087963609
rapg_on,15,0.48081302703890977,0.39872714854817776,0.561204664470803,0.4083188544583041,0.3345871552826177,0.48658945252885516,0.535762083530426,0.4892254870136579,0.5849195983509223,0.4126073400179545,0.3591397618254026,0.46217972040176386,0.38445796137878924,0.2937804257986949,0.4822107799449467,15.0,15.0,15.0,3.2190517743428546,3.210337719519933,3.226593066851298,0.30279541015625,0.03764711568401327,0.76153564453125,0.0025101204713185703,0.0001220703125,0.33820431228050085,0.012451171875,0.027469166119893414,0.623291015625,1.0,0.00054931640625,0.087158203125,15,0.9973478591709716,0.1517588816120902
topk_dc_const,15,0.5959479048189679,0.4812184966229796,0.7068747747635943,0.548804844265361,0.4269225804966241,0.6705107564822801,0.6636663357416789,0.5867931213478248,0.7379880418380099,0.35159589946269987,0.2805231929073731,0.42294202571113887,0.3711570641889398,0.2864322114011846,0.47026359450155175,15.0,15.0,15.0,3.2207938989003497,3.2112353865305585,3.2292704002062482,0.00262451171875,0.15278199346407143,0.00262451171875,-0.058501320083936055,6.103515625e-05,0.453339190060559,0.1688232421875,-0.03354227443536122,0.0157470703125,0.02099609375,0.00054931640625,0.67529296875,15,0.9852124530925204,0.3166830677517898
