method,n,fad_clap_maestro,fad_clap_sao
sao,225,0.8185214784372575,0.0
early,225,0.8141363396537147,0.0354995467817274
mid,225,0.7670162545680457,0.0792071084385304
late,225,0.8148057082933765,0.09357966032897835
uniform,225,0.7895009214294392,0.0559423899763537
mlsp,225,0.7946149866631405,0.06592603868653668
rapg_cal_f1,225,0.8146195846993289,0.09031741310854047
rapg_cal_dc,225,0.753970982876625,0.08548480225873656
rapg_on,225,0.7657769188330691,0.05660035228912075
topk_dc_const,225,0.7580949665241018,0.08199360754025176
