method,n,coherence_mlsp,coherence_mlsp_lo,coherence_mlsp_hi,coherence_w2s,coherence_w2s_lo,coherence_w2s_hi,chroma_cos,chroma_cos_lo,chroma_cos_hi,clap,clap_lo,clap_hi,coherence_firstnote,coherence_firstnote_lo,coherence_firstnote_hi,n_updates,n_updates_lo,n_updates_hi,runtime_s,runtime_s_lo,runtime_s_hi,p_coherence_mlsp_vs_mlsp,d_coherence_mlsp_vs_mlsp,p_clap_vs_mlsp,d_clap_vs_mlsp,p_coherence_mlsp_vs_sao,d_coherence_mlsp_vs_sao,p_clap_vs_sao,d_clap_vs_sao,p_coherence_mlsp_vs_mlsp_holm,p_clap_vs_mlsp_holm,p_coherence_mlsp_vs_sao_holm,p_clap_vs_sao_holm,fad_clap_maestro,fad_clap_sao
sao,225,0.1262059082489043,0.11159125427676599,0.14127443133128803,0.13038705039929618,0.11569692498798526,0.145509352497032,0.22207572061154576,0.20922267402998276,0.23540680917724965,0.30687530404991575,0.2914561382051971,0.3220832277105914,0.11788273883917451,0.09019681065962003,0.1484676333170138,0.0,0.0,0.0,3.175190702014499,3.1719699114958444,3.178567804230584,2.1353785490698276e-32,-0.23620713131022125,0.024250450389032896,-0.008975550366772547,,,,,1.9218406941628449e-31,0.21825405350129606,,,0.8185214784372575,0.0
early,225,0.16571470933071022,0.1496848822445602,0.1819092437082889,0.16742009880256267,0.15126220130415854,0.184016961815254,0.28068501719170147,0.26763373670602836,0.2943150921530193,0.31154794103569455,0.2967109210665027,0.3262177873469061,0.15703009472070942,0.12388787414680094,0.1917982598683218,15.0,15.0,15.0,3.1922370507982043,3.188692359632916,3.1958903758260937,8.54267597005283e-31,-0.19652195165215725,0.3036594095002958,-0.004302913380993736,1.2470780297992707e-07,0.03950880108180595,0.10199637106802859,0.004672636985778813,6.834140776042264e-30,1.0,1.2470780297992707e-07,0.31644733044776524,0.8141363396537147,0.0354995467817274
mid,225,0.4237891648512338,0.3887220645263825,0.45927414058204635,0.3984944467712062,0.36389174518456513,0.4329927315476713,0.5386550721857283,0.5144504427942964,0.5627790713028775,0.31659940861993363,0.30121142342272733,0.33208704908688863,0.24433233732520562,0.21390852116962697,0.2743847773570605,15.0,15.0,15.0,3.1919465086195205,3.188718993028005,3.1952687428527407,4.070111138685288e-06,0.06180882780043634,0.7275935058341628,0.0007485542032453768,2.1124445714219908e-33,0.2975832566023295,0.057944962044836595,0.009724104570017924,1.6280444554741153e-05,1.0,1.4787111999953936e-32,0.31644733044776524,0.7670162545680457,0.0792071084385304
late,225,0.3153124006909904,0.2866381594760472,0.3432046006924209,0.2860514334306653,0.2618207385522877,0.31093170024952393,0.461206399069892,0.4458085015366475,0.4770277352018488,0.311298653781414,0.2939946269226364,0.3276164746242058,0.1957506853648892,0.1636245073358542,0.23023432049058173,15.0,15.0,15.0,3.1940586132473414,3.1910249736044145,3.197152236541112,0.004245818825730944,-0.046973887945243105,0.4934117170677399,-0.004552200635274249,2.0179258210547633e-32,0.18910649244208616,0.12604563108587366,0.0044233497314982995,0.008491637651461888,1.0,1.0089629105273817e-31,0.31644733044776524,0.8148057082933765,0.0935796603289783
uniform,225,0.28349978559810773,0.2603490665900629,0.3070889861487553,0.2768304817440053,0.2537334689624854,0.30050730467495573,0.40889152771896786,0.3911655696978172,0.42642341613438395,0.3137742713259326,0.29815505644306545,0.3292773223208884,0.23573825766126952,0.19968516456086075,0.2752092459599534,15.0,15.0,15.0,3.1958224275377063,3.192655594825745,3.1991348173353407,2.8978044379293864e-21,-0.07880628724666121,0.1649208094096145,-0.0020765830907556737,4.6579931152087934e-29,0.15729387734920344,0.05944858364709707,0.006898967276016873,2.0284631065505706e-20,1.0,9.315986230417587e-29,0.31644733044776524,0.7895009214294392,0.0559423899763537
mlsp,224,0.36297645879237955,0.33416014115083253,0.39146381088135807,0.3436897827723942,0.3164072213457102,0.3712550596031483,0.4824722893370522,0.4606878880030579,0.5040541131148736,0.3158508544166883,0.2993008092161682,0.33215208138773833,0.2633348509491444,0.2266826315249126,0.3012257385148862,15.0,15.0,15.0,3.1980465581681994,3.1950465588569643,3.2009592973656122,,,,,2.1353785490698276e-32,0.23620713131022125,0.024250450389032896,0.008975550366772547,,,1.0089629105273817e-31,0.16975315272323027,0.7946149866631405,0.0659260386865366
rapg_cal_f1,225,0.3096934583851018,0.28137015428578094,0.337142620077373,0.28167805415621294,0.25654767788368626,0.30674846213863805,0.4563346262110604,0.44073303009404075,0.47243562507298253,0.31018314229945343,0.2930677006728947,0.32647330336438285,0.19359746930491092,0.16167794651637626,0.22813105369889408,15.0,15.0,15.0,3.1984524875217013,3.1956102191607156,3.201457703034083,0.0010474837966892485,-0.05267395517668654,0.28575006186524143,-0.0056677121172348625,1.22245998517754e-32,0.18348755013619755,0.24789862901762083,0.003307838249537687,0.0031424513900677456,1.0,7.334759911065239e-32,0.31644733044776524,0.8146195846993289,0.0903174131085404
rapg_cal_dc,225,0.4453675267195233,0.4106381036912852,0.48017351050995694,0.42416781084814537,0.38965524052526757,0.45867459075908146,0.5593926580084695,0.5352263469712601,0.5840821710361375,0.3237811185916265,0.30889174166156186,0.33903645845585395,0.25455390288103996,0.22463604518375452,0.2849700119376361,15.0,15.0,15.0,3.1994647386338975,3.196471142186059,3.202456632057826,4.240023264021888e-09,0.08393991761405949,0.1210591951952888,0.007930264174938202,3.000549220371804e-34,0.319161618470619,0.0015914889830265144,0.01690581454171075,2.5440139584131327e-08,0.9684735615623103,2.7004942983346235e-33,0.01432340084723863,0.753970982876625,0.0854848022587365
rapg_on,225,0.3513881006092657,0.3219463589139816,0.3819079097247432,0.32898219704370213,0.30149575318613336,0.3569140555216313,0.4542315693365203,0.4336478035292692,0.4749920801909433,0.3137688510947757,0.29790435488025346,0.3293392065324717,0.2275665616676274,0.19249208407845225,0.2634289097241632,15.0,15.0,15.0,3.198785825305515,3.1959547670417363,3.2017770878209006,0.5302204392453124,-0.012606112552559523,0.6948239294591825,-0.0020820033219125554,3.4823100477909834e-30,0.22518219236036133,0.052741221741294204,0.006893547044859992,0.5302204392453124,1.0,1.044693014337295e-29,0.31644733044776524,0.7657769188330691,0.0566003522891207
topk_dc_const,225,0.4339019928054459,0.399340899910938,0.46867105954683835,0.40898362386563114,0.37508522423645096,0.44246092029743006,0.5488281532128652,0.5245706108195914,0.5729541478968329,0.3213724387023184,0.3063984434513582,0.3365978012233972,0.24907338192650325,0.2186370179324585,0.2797963882307466,15.0,15.0,15.0,3.2017736032274033,3.1989601240158083,3.2046398252381216,9.834391071478117e-08,0.07192509648094779,0.36609474228047656,0.00552158428563012,4.032709517721572e-34,0.3076960845565416,0.005734517710852767,0.014497134652402668,4.917195535739059e-07,1.0,3.226167614177258e-33,0.045876141686822136,0.7580949665241018,0.0819936075402517
