method,K,coh,coh_sd,clap,chroma,n
late,5,0.16580882833907787,0.12861281957793916,,0.3226938849687576,50
late,10,0.23787657638393206,0.15340713587301774,,0.40874300599098207,50
late,15,0.36522571911950275,0.1999396043393292,,0.5048054206371307,50
late,25,0.5687161632505995,0.22887650070287882,,0.6828883796930313,50
rapg_cal_dc,5,0.17989267731633915,0.1451780525629023,,0.32800802364945414,50
rapg_cal_dc,10,0.23341368221142894,0.16999821785764532,,0.3971675169467926,50
rapg_cal_dc,15,0.2788689373126149,0.17631820715145202,,0.44124607235193253,50
rapg_cal_dc,25,0.35660650928856946,0.21035736680760955,,0.515368595123291,50
uniform,5,0.16196847834642306,0.12577849581946549,,0.32204475581645964,50
uniform,10,0.24149544221777236,0.1854313051482001,,0.4006183645129204,50
uniform,15,0.2997628378990125,0.18884532401888574,,0.4667477589845657,50
uniform,25,0.4005376622593488,0.21414485118067525,,0.5671695202589035,50
