position,progress,n,R_at,d_coherence_mlsp,d_coherence_mlsp_lo,d_coherence_mlsp_hi,d_coherence_w2s,d_coherence_w2s_lo,d_coherence_w2s_hi,d_chroma_cos,d_chroma_cos_lo,d_chroma_cos_hi,d_clap,d_clap_lo,d_clap_hi,d_bce0,d_bce0_lo,d_bce0_hi,logmel_l1,logmel_l1_lo,logmel_l1_hi,d_coherence_firstnote,d_coherence_firstnote_lo,d_coherence_firstnote_hi
2,0.06,50,0.3068364799022675,0.0044109250469501135,-0.005995062236805456,0.014664789626828646,0.013364338436851373,-0.00014363476313822266,0.02709636890880334,0.013160327076911926,0.0073455929532647134,0.02009538437053561,-0.007743650376796723,-0.013963537238538265,-0.0016066667176783157,-0.016187716722488404,-0.023828827008605002,-0.009690247341990475,0.13195909313857557,0.10469123082328588,0.16283917644806206,0.0038482472887649095,0.0006543849974538733,0.007636974925657404
6,0.14,50,0.3012900799512863,0.003191680876443082,-0.011079470960987261,0.016975025281262185,0.01503235853207296,0.00013255787419123698,0.029938082743858653,0.01573917254805565,0.008612874284386635,0.02343921153619885,-0.00416408360004425,-0.011253324490040541,0.0035790627039968934,-0.01825157642364502,-0.02611118111759424,-0.011400284498929983,0.23567795742303133,0.18132411310449242,0.29530446947552264,0.011401710352347721,0.003952562057627603,0.020152287911622307
10,0.22,50,0.2920644164085388,0.008009372160190549,-0.006856632947321122,0.021542503355969342,0.01865750216894766,0.0027157141387487167,0.034371441489121024,0.026492028087377547,0.015477592010051012,0.03831605849042532,-0.006667164713144302,-0.01423513177037239,0.001092229165136807,-0.027497579455375672,-0.03569201783835888,-0.019799651563167577,0.317342167198658,0.2502063831202686,0.38803829182311894,0.020097068429545114,0.010046820236805275,0.03139972566318567
14,0.3,50,0.28239041566848755,0.011399491941893906,-0.008925771139686777,0.032249330966225224,0.015482152850827751,-0.0019355224010653579,0.03421884678846335,0.047449851781129836,0.02964803263917565,0.06814188630506396,-0.0134760083258152,-0.02317711399123073,-0.004040253411978486,-0.04205613136291504,-0.05519013801217079,-0.030719207257032397,0.39683435603976247,0.3282501110471785,0.4662087601907551,0.015827285030111788,0.005316808291192953,0.02784446469003703
18,0.38,50,0.2959552049636841,0.04881444912170586,0.019322973631551218,0.08034454619913202,0.04945995434912123,0.021248091044710697,0.08003371405055554,0.0710508807003498,0.04653472244367004,0.09818071410804986,-0.012367019951343537,-0.02326556833460927,-0.0009110393002629374,-0.0604047629237175,-0.08081826200336217,-0.04333961924165488,0.5437998563051224,0.46415290119498964,0.6304984126910567,0.05239821902722577,0.01785240392952806,0.09099616842889004
22,0.46,50,0.293950629234314,0.09030831589619347,0.05593152268707801,0.12471843473298948,0.07051251397806411,0.041355634833527444,0.10177519925711483,0.08957108482718468,0.06497887295112013,0.11629858428239821,-0.012315354496240615,-0.02397145725786686,0.00027824267745017424,-0.07945189565420151,-0.10092464895546437,-0.0606647927388549,0.5664257115125656,0.49585639388859276,0.6403155790865421,0.09555422228733168,0.05350465635903616,0.14869972971166653
26,0.54,50,0.2920795351266861,0.0991779391854794,0.06802226528838183,0.13133853714691132,0.09069810171350345,0.0606118235040035,0.12397663044882748,0.11895009621977806,0.0937933691777289,0.1462834269367158,-0.012828454524278641,-0.022032138399779796,-0.0034188998490572013,-0.10293083548545838,-0.12689602863788604,-0.08099983988702297,0.4984328231215477,0.4481217314302921,0.5529627587571739,0.10783481532208368,0.06243844716751288,0.16298980932551355
30,0.62,50,0.3208909183740616,0.06652830278257787,0.045801770957132046,0.08727257083734048,0.06834226900836293,0.04682743260642634,0.08996768612749319,0.10743578895926476,0.08487381000071764,0.1308022232092917,-0.009050647616386414,-0.018872388508170843,0.00047843559831380733,-0.10305274069309235,-0.12264794313907623,-0.08434563659876586,0.3957268215715885,0.3513940862007439,0.44350562803074717,0.05169749232438742,0.0315766777950698,0.07482154026321715
34,0.7,50,0.33043893575668337,0.0400830595154078,0.02479644772371113,0.056516390701443354,0.04474222181939562,0.02834748159382016,0.062498380252644974,0.07915337279438972,0.06320413647592067,0.09629552370309827,-0.00992877833545208,-0.01884714307077229,-0.0011316988524049537,-0.08311820417642593,-0.09757788505405188,-0.06993808236718178,0.23567053258419038,0.2144597344212234,0.2564857356734574,0.012623635739712596,0.0029008989035241594,0.02423456419523609
38,0.78,50,0.38898091912269595,0.030349972808820437,0.019497876611619572,0.042626600443868755,0.025781196805966865,0.012419557434857967,0.03966158473648705,0.055524529367685316,0.04639415041357279,0.06601500649005175,-0.012982012629508972,-0.020340098423883318,-0.0061172590181231504,-0.08708072751760483,-0.09864937955141068,-0.07636119677871465,0.16882899299263954,0.15744774305820466,0.18033425674960016,-0.0004762188457497199,-0.008409681870720854,0.007927745342251285
42,0.86,50,0.46381416022777555,0.025664993800922475,0.015253378856892494,0.037382560341452924,0.020494461711277657,0.008365349315402358,0.032872962720570116,0.04762168660759926,0.04107649367675185,0.05450939222797751,-0.012399571239948273,-0.019417829036712644,-0.006313108868896962,-0.10172924682497979,-0.11189809792488814,-0.09228649405390026,0.16026997655630112,0.1493006166741252,0.17242220471799372,-0.0007093635723603245,-0.00779472448485435,0.006275743926799344
46,0.94,50,0.4841796785593033,0.024604698155735037,0.014132712506892069,0.03642358271810194,0.01721095993586814,0.006355346233793551,0.02836257411445813,0.046099103689193725,0.04078770478814841,0.05144238148257136,-0.010625749751925468,-0.01596137072518468,-0.005811291912570597,-0.12396414503455162,-0.1334490310847759,-0.11520804218575359,0.17352355644106865,0.16194936400279403,0.18621786401420828,0.002231568049024615,-0.0042378298931929756,0.009154658234119418
