position,progress,n,R_at,d_coherence_mlsp,d_coherence_mlsp_lo,d_coherence_mlsp_hi,d_coherence_w2s,d_coherence_w2s_lo,d_coherence_w2s_hi,d_chroma_cos,d_chroma_cos_lo,d_chroma_cos_hi,d_clap,d_clap_lo,d_clap_hi,d_bce0,d_bce0_lo,d_bce0_hi,logmel_l1,logmel_l1_lo,logmel_l1_hi,d_coherence_firstnote,d_coherence_firstnote_lo,d_coherence_firstnote_hi
2,0.06,50,0.09770313203334804,0.07419642381085996,0.035271044940860245,0.11456332074844008,0.0296622750448705,-0.0032131186682632503,0.06377055650896403,0.12352474637329579,0.09817704310268165,0.15022697691246867,-0.009861688800156117,-0.016033720854669812,-0.0037049525063484958,-0.1207273143529892,-0.13734877194464207,-0.10481451661884786,1.2791705310344696,1.147566174864769,1.4100121399462222,0.11811670852994999,0.058583311797796196,0.17929677474978767
6,0.14,50,0.09699141085147854,0.07520352497936676,0.034206472269241256,0.11912546307103945,0.027307464674551644,-0.005088966282013421,0.060426136587710365,0.12435781724750995,0.09890021240711212,0.1509250703509897,-0.00659520648419857,-0.013492540022358298,0.00036968122795223913,-0.12117192059755326,-0.1374732110351324,-0.10568849984556437,1.2863942682743073,1.1561746878921986,1.4166860930025578,0.09826065987904674,0.04081078852356616,0.15945864845526214
10,0.22,50,0.09553961679339405,0.08902628675847271,0.04465902994269008,0.13557611507856734,0.03644922361657153,0.0011927331724387587,0.07092911744606921,0.12608710803091527,0.10026661331951618,0.153471915602684,-0.0056851858645677565,-0.011795808095484972,0.00033792816288768965,-0.12196954786777496,-0.13823335720598698,-0.10628029286116364,1.2796794056892395,1.151602343440056,1.408419139564037,0.11303053122630351,0.048788985388974894,0.1796646028536624
14,0.3,50,0.09322119578719136,0.08183422406594357,0.03919364439407755,0.12656214189165726,0.039652903144732535,0.005861918357362476,0.07388032303911476,0.12378447778522968,0.0996586337890476,0.14864752138406037,-0.004203001484274865,-0.011649040685966611,0.0031472493708133674,-0.12241636008024216,-0.13888410463929177,-0.1068479397147894,1.2360025107860566,1.1129031473100186,1.3607909426391125,0.11399946978116027,0.0564664638687935,0.17553901129437888
18,0.38,50,0.09065828695893284,0.08607641552913399,0.04315625407449281,0.12852582475721908,0.008949724426960926,-0.01904459028204999,0.03820670004063616,0.11544303365051746,0.09093128607422113,0.1406206515431404,-0.005745879411697388,-0.012319107310846449,0.0009912814069539305,-0.12528274029493333,-0.1428863986209035,-0.10843887174874546,1.2066046822071075,1.0922615747451783,1.3270954460799695,0.0663488977596726,0.019667179061219946,0.11575948621496818
22,0.46,50,0.09134497866034501,0.040152141181098805,0.00569785300353363,0.07697786806187028,-0.0011049796789224665,-0.025220749886113926,0.020760846258259153,0.07825020797550679,0.06083103539049625,0.09809241455979645,0.0008822999894618988,-0.006245152845978737,0.007856501100584863,-0.09946866229176521,-0.11546750834211707,-0.0841348351240158,1.0761460888385772,1.000113911807537,1.1549088751971721,0.01026900703028979,-0.033137507969883254,0.053279645342146284
26,0.54,50,0.10133002176880829,0.03215064496310951,0.012970733060335278,0.052684689098399864,0.0060160013069662675,-0.0078448675339196,0.019496734840661608,0.048305379524827004,0.0379525120910257,0.06034288860484956,0.0024588213115930555,-0.0030073809903115034,0.007910036673769348,-0.09144672930240631,-0.10342426878958941,-0.08026501121371984,0.7593609964847565,0.7208854449689388,0.7974757272303103,0.033030634551960224,0.016494426553249425,0.05183871366020902
30,0.62,50,0.13030288666486736,0.037585819510691884,0.022804659407614027,0.0536642282537444,0.00850837579229174,-0.0014675267139659266,0.018508083448586767,0.028095440194010734,0.023680120617151263,0.03308000680245459,0.00825538530945778,0.0021546271853148937,0.014473257746547459,-0.09229913935065269,-0.10104385502636433,-0.0841439187526703,0.5768457305431366,0.5553043680042028,0.5992644153535366,0.008525787498931365,0.001524590963613412,0.016720074287512703
34,0.7,50,0.18745674937963486,0.018850907112136286,0.006729446795446329,0.032857237945030406,-0.0007789850576401416,-0.006178758321857625,0.004693392670032444,0.024592252001166343,0.020652582941576833,0.028874077536165707,0.010033696591854095,0.004748285202309489,0.015427670773118735,-0.09642844930291178,-0.10455062865465879,-0.08893109342455865,0.49475234806537627,0.47696133276820185,0.5142184589207173,0.0021036755427683174,-0.0025512003215326672,0.00808210854174409
38,0.78,50,0.2491213083267212,0.021585361204288323,0.009380613712704955,0.03623218587797027,-0.0022718192648277166,-0.009561072343107227,0.004400088452312748,0.023111845776438704,0.019527879698202005,0.02680302487500011,0.006472683846950531,0.0014245383609086276,0.011604842580854893,-0.10550529003143311,-0.11361732812225818,-0.09827030964195728,0.4686844956874847,0.4539335850179196,0.4847728581726551,-0.0005892044952600779,-0.004951309637987267,0.0045114005502943574
42,0.86,50,0.2855923779308796,0.015452142291507355,0.006616436140949459,0.026023229947936072,-0.0016017500968393305,-0.007565420053868283,0.004221462555807328,0.025430672839283942,0.02244491384550928,0.02849365707859397,0.0007737623155117035,-0.00464187947846949,0.006192231917753815,-0.1247998195886612,-0.1330385619699955,-0.11752739702910185,0.4745739418268204,0.4608075628876686,0.4893812410980463,-0.0007246976357865878,-0.004744619170224252,0.0036289623349237327
46,0.94,50,0.3008786730468273,0.018012119231956746,0.009284940526405801,0.02799882732228562,-0.00583789229038666,-0.013156350933094847,0.0011061476093825674,0.030466951057314867,0.02706624807231127,0.03404138204827905,0.004497782364487648,-0.0008844514619559048,0.009647256460040807,-0.14920496210455894,-0.15789123779162764,-0.14114744398742915,0.49281970500946043,0.4791644313931465,0.5074480848312378,-0.00238458135671682,-0.0066549197302518065,0.002024717265442112
