trial,prompt_id,melody,seed,position,R_at,coherence_mlsp,coherence_w2s,chroma_cos,clap,logmel_l1,coherence_firstnote,bce0,n_updates,runtime_s
dev-p00-ascending-s0,0,ascending,0,-1,,0.18518518518518517,0.25,0.3001851737499237,0.1522645801305771,0.0,0.05,0.320699542760849,0,
dev-p00-ascending-s0,0,ascending,0,26,0.28164932131767273,0.27319587628865977,0.22535211267605634,0.30205127596855164,0.15397760272026062,0.03860392048954964,0.04225352112676056,0.3193545937538147,3,3.1706435680389404
dev-p00-ascending-s1,0,ascending,1,-1,,0.0,0.1506849315068493,0.21203897893428802,0.19955521821975708,0.0,0.0,0.4076211154460907,0,
dev-p00-ascending-s1,0,ascending,1,26,0.31125062704086304,0.0033783783783783786,0.0,0.21694378554821014,0.20666596293449402,0.06090153008699417,0.0136986301369863,0.4019216001033783,3,3.199181079864502
dev-p00-descending-s0,0,descending,0,-1,,0.0,0.016666666666666666,0.2963097095489502,0.1522645801305771,0.0,0.05,0.32793235778808594,0,
dev-p00-descending-s0,0,descending,0,26,0.28164932131767273,0.017482517482517484,0.07407407407407407,0.29404881596565247,0.1419532597064972,0.03584279865026474,0.037037037037037035,0.3274213671684265,3,3.201617956161499
dev-p00-descending-s1,0,descending,1,-1,,0.1513157894736842,0.0136986301369863,0.3056850731372833,0.19955521821975708,0.0,0.0,0.3879072964191437,0,
dev-p00-descending-s1,0,descending,1,26,0.31125062704086304,0.15181518151815182,0.0136986301369863,0.3038574457168579,0.19491448998451233,0.03172896057367325,0.0,0.38704466819763184,3,3.1990365982055664
dev-p00-alternating-s0,0,alternating,0,-1,,0.03404255319148936,0.018518518518518517,0.2924724519252777,0.1522645801305771,0.0,0.05555555555555555,0.34996792674064636,0,
dev-p00-alternating-s0,0,alternating,0,26,0.28164932131767273,0.03347280334728033,0.015384615384615385,0.28992733359336853,0.14620378613471985,0.0352146215736866,0.046153846153846156,0.34942081570625305,3,3.2009518146514893
dev-p00-alternating-s1,0,alternating,1,-1,,0.2988505747126437,0.14516129032258066,0.4581725001335144,0.19955521821975708,0.0,0.0,0.3000986874103546,0,
dev-p00-alternating-s1,0,alternating,1,26,0.31125062704086304,0.3,0.3,0.45712345838546753,0.2032151222229004,0.0542009174823761,0.014285714285714285,0.2989530563354492,3,3.1991472244262695
dev-p00-pedal-s0,0,pedal,0,-1,,0.05925925925925926,0.06666666666666667,0.32364240288734436,0.1522645801305771,0.0,0.06666666666666667,0.37416765093803406,0,
dev-p00-pedal-s0,0,pedal,0,26,0.28164932131767273,0.07881773399014778,0.056338028169014086,0.313207745552063,0.14906497299671173,0.05277171730995178,0.056338028169014086,0.3814426064491272,3,3.198110818862915
dev-p00-pedal-s1,0,pedal,1,-1,,0.0,0.0,0.32012057304382324,0.19955521821975708,0.0,0.0,0.39990484714508057,0,
dev-p00-pedal-s1,0,pedal,1,26,0.31125062704086304,0.0,0.0,0.31502312421798706,0.19043803215026855,0.16367004811763763,0.0,0.3966773748397827,3,3.193265914916992
dev-p00-zigzag-s0,0,zigzag,0,-1,,0.06666666666666667,0.06666666666666667,0.3548204302787781,0.1522645801305771,0.0,0.05,0.32234475016593933,0,
dev-p00-zigzag-s0,0,zigzag,0,26,0.28164932131767273,0.06206896551724138,0.0641025641025641,0.3488442301750183,0.13412047922611237,0.05660778656601906,0.038461538461538464,0.32960307598114014,3,3.192781448364258
dev-p00-zigzag-s1,0,zigzag,1,-1,,0.09539473684210527,0.0,0.3181476593017578,0.19955521821975708,0.0,0.0,0.36698591709136963,0,
dev-p00-zigzag-s1,0,zigzag,1,26,0.31125062704086304,0.0858085808580858,0.0,0.31501534581184387,0.18993788957595825,0.06298131495714188,0.0,0.3734906017780304,3,3.208463191986084
dev-p01-ascending-s0,1,ascending,0,-1,,0.11594202898550725,0.13414634146341464,0.2608514130115509,0.1451108455657959,0.0,0.0,0.39972442388534546,0,
dev-p01-ascending-s0,1,ascending,0,26,0.273994505405426,0.11895910780669144,0.14634146341463414,0.26184847950935364,0.1282637119293213,0.05826173722743988,0.0,0.3999331593513489,3,3.1952242851257324
dev-p01-ascending-s1,1,ascending,1,-1,,0.0729483282674772,0.08333333333333333,0.14360271394252777,0.2651369869709015,0.0,0.07142857142857142,0.44544366002082825,0,
dev-p01-ascending-s1,1,ascending,1,26,0.31131383776664734,0.0701219512195122,0.08333333333333333,0.14174766838550568,0.25444337725639343,0.03514179214835167,0.07142857142857142,0.4454721212387085,3,3.3014578819274902
dev-p01-descending-s0,1,descending,0,-1,,0.050724637681159424,0.13414634146341464,0.23283295333385468,0.1451108455657959,0.0,0.0,0.4293443262577057,0,
dev-p01-descending-s0,1,descending,0,26,0.273994505405426,0.050724637681159424,0.13580246913580246,0.2324754297733307,0.13699954748153687,0.06688938289880753,0.0,0.4314830005168915,3,3.1848087310791016
dev-p01-descending-s1,1,descending,1,-1,,0.22188449848024316,0.2261904761904762,0.2960195541381836,0.2651369869709015,0.0,0.07142857142857142,0.40570303797721863,0,
dev-p01-descending-s1,1,descending,1,26,0.31131383776664734,0.22188449848024316,0.2289156626506024,0.2949150502681732,0.26412996649742126,0.024768635630607605,0.060240963855421686,0.4054671823978424,3,3.19865083694458
dev-p01-alternating-s0,1,alternating,0,-1,,0.2384937238493724,0.30985915492957744,0.24569618701934814,0.1451108455657959,0.0,0.0,0.40828073024749756,0,
dev-p01-alternating-s0,1,alternating,0,26,0.273994505405426,0.2425531914893617,0.2602739726027397,0.24687619507312775,0.12759608030319214,0.0634094774723053,0.0,0.40529030561447144,3,3.216171979904175
dev-p01-alternating-s1,1,alternating,1,-1,,0.23776223776223776,0.2328767123287671,0.33993300795555115,0.2651369869709015,0.0,0.0821917808219178,0.3182561993598938,0,
dev-p01-alternating-s1,1,alternating,1,26,0.31131383776664734,0.23776223776223776,0.2328767123287671,0.3512459695339203,0.25076785683631897,0.13656248152256012,0.0684931506849315,0.31271952390670776,3,3.205172061920166
dev-p01-pedal-s0,1,pedal,0,-1,,0.0,0.0,0.12906336784362793,0.1451108455657959,0.0,0.0,0.46598732471466064,0,
dev-p01-pedal-s0,1,pedal,0,26,0.273994505405426,0.0,0.012048192771084338,0.12424211949110031,0.1309158354997635,0.07579600065946579,0.012048192771084338,0.4678872227668762,3,3.202388048171997
dev-p01-pedal-s1,1,pedal,1,-1,,0.0,0.0,0.10695866495370865,0.2651369869709015,0.0,0.0,0.5153742432594299,0,
dev-p01-pedal-s1,1,pedal,1,26,0.31131383776664734,0.0,0.0,0.10597492754459381,0.25845056772232056,0.036737289279699326,0.0,0.5141085386276245,3,3.1994681358337402
dev-p01-zigzag-s0,1,zigzag,0,-1,,0.2210144927536232,0.23170731707317074,0.3168574571609497,0.1451108455657959,0.0,0.0,0.3561677932739258,0,
dev-p01-zigzag-s0,1,zigzag,0,26,0.273994505405426,0.2066420664206642,0.2345679012345679,0.3171359896659851,0.16477461159229279,0.06313479691743851,0.0,0.35751277208328247,3,3.1924219131469727
dev-p01-zigzag-s1,1,zigzag,1,-1,,0.2006079027355623,0.20238095238095238,0.2639120817184448,0.2651369869709015,0.0,0.07142857142857142,0.3890804350376129,0,
dev-p01-zigzag-s1,1,zigzag,1,26,0.31131383776664734,0.2006079027355623,0.20481927710843373,0.26609137654304504,0.25949376821517944,0.054850172251462936,0.04819277108433735,0.3873882293701172,3,3.188950300216675
dev-p02-ascending-s0,2,ascending,0,-1,,0.0981012658227848,0.11627906976744186,0.2712668180465698,0.22458577156066895,0.0,0.0,0.35999882221221924,0,
dev-p02-ascending-s0,2,ascending,0,26,0.2782004177570343,0.033582089552238806,0.058823529411764705,0.30996179580688477,0.1996946930885315,0.11485277116298676,0.011764705882352941,0.3599162995815277,3,3.1983792781829834
dev-p02-ascending-s1,2,ascending,1,-1,,0.0,0.012987012987012988,0.17535509169101715,0.1629790961742401,0.0,0.0,0.3952395021915436,0,
dev-p02-ascending-s1,2,ascending,1,26,0.3112470805644989,0.0,0.014492753623188406,0.17027045786380768,0.16481848061084747,0.04716300219297409,0.0,0.39759013056755066,3,3.1999025344848633
dev-p02-descending-s0,2,descending,0,-1,,0.1360759493670886,0.13953488372093023,0.3347616195678711,0.22458577156066895,0.0,0.0,0.3617812395095825,0,
dev-p02-descending-s0,2,descending,0,26,0.2782004177570343,0.15357142857142858,0.1891891891891892,0.3453054130077362,0.16364142298698425,0.07312656939029694,0.0,0.3606010973453522,3,3.2124149799346924
dev-p02-descending-s1,2,descending,1,-1,,0.08695652173913043,0.06493506493506493,0.19152787327766418,0.1629790961742401,0.0,0.0,0.41711652278900146,0,
dev-p02-descending-s1,2,descending,1,26,0.3112470805644989,0.09282700421940929,0.07894736842105263,0.1959686130285263,0.1773136854171753,0.0417296476662159,0.0,0.41477882862091064,3,3.2103230953216553
dev-p02-alternating-s0,2,alternating,0,-1,,0.0,0.013333333333333334,0.25709474086761475,0.22458577156066895,0.0,0.0,0.4170563817024231,0,
dev-p02-alternating-s0,2,alternating,0,26,0.2782004177570343,0.0,0.0,0.23206135630607605,0.17097917199134827,0.0458245724439621,0.0,0.4142531454563141,3,3.187767505645752
