trial,prompt_id,melody,seed,position,R_at,coherence_mlsp,coherence_w2s,chroma_cos,clap,logmel_l1,coherence_firstnote,bce0,n_updates,runtime_s
dev-p00-ascending-s0,0,ascending,0,-1,,0.12956810631229235,0.09302325581395349,0.1781555861234665,,0.0,0.0,0.528880774974823,0,
dev-p00-ascending-s0,0,ascending,0,10,0.09421922266483307,0.14035087719298245,0.11904761904761904,0.18188156187534332,,0.4365421533584595,0.0,0.53006511926651,3,1.484391212463379
dev-p00-ascending-s1,0,ascending,1,-1,,0.1382636655948553,0.13157894736842105,0.13007795810699463,,0.0,0.0,0.5709613561630249,0,
dev-p00-ascending-s1,0,ascending,1,10,0.0967610701918602,0.13870967741935483,0.13157894736842105,0.15764343738555908,,0.6268962025642395,0.0,0.5663439035415649,3,1.431788444519043
dev-p00-descending-s0,0,descending,0,-1,,0.006644518272425249,0.11627906976744186,0.13264796137809753,,0.0,0.0,0.5609769225120544,0,
dev-p00-descending-s0,0,descending,0,10,0.09421922266483307,0.006644518272425249,0.11904761904761904,0.13310788571834564,,0.42605966329574585,0.0,0.5615297555923462,3,1.43092679977417
dev-p00-descending-s1,0,descending,1,-1,,0.1382636655948553,0.07894736842105263,0.18054917454719543,,0.0,0.0,0.5614876747131348,0,
dev-p00-descending-s1,0,descending,1,10,0.0967610701918602,0.13738019169329074,0.07894736842105263,0.20014695823192596,,0.6430918574333191,0.0,0.5558813810348511,3,1.432643175125122
dev-p00-alternating-s0,0,alternating,0,-1,,0.29457364341085274,0.16216216216216217,0.21660111844539642,,0.0,0.0,0.4938519299030304,0,
dev-p00-alternating-s0,0,alternating,0,10,0.09421922266483307,0.1821705426356589,0.2222222222222222,0.21182075142860413,,0.4417499005794525,0.0,0.49606823921203613,3,1.4307239055633545
dev-p00-alternating-s1,0,alternating,1,-1,,0.3208955223880597,0.25,0.2545253336429596,,0.0,0.0,0.49657830595970154,0,
dev-p00-alternating-s1,0,alternating,1,10,0.0967610701918602,0.32209737827715357,0.15625,0.27988722920417786,,0.6281922459602356,0.0,0.49056732654571533,3,1.4331820011138916
dev-p00-pedal-s0,0,pedal,0,-1,,0.26578073089701,0.37209302325581395,0.2339930236339569,,0.0,0.6046511627906976,0.4964674115180969,0,
dev-p00-pedal-s0,0,pedal,0,10,0.09421922266483307,0.12292358803986711,0.3902439024390244,0.24380996823310852,,0.4664374589920044,0.6341463414634146,0.503123939037323,3,1.430905818939209
dev-p00-pedal-s1,0,pedal,1,-1,,0.4887459807073955,0.42105263157894735,0.41950723528862,,0.0,1.0,0.4634200632572174,0,
dev-p00-pedal-s1,0,pedal,1,10,0.0967610701918602,0.3961661341853035,0.2631578947368421,0.40595945715904236,,0.6165804266929626,0.8421052631578947,0.46289777755737305,3,1.431197166442871
dev-p00-zigzag-s0,0,zigzag,0,-1,,0.08305647840531562,0.09302325581395349,0.16450323164463043,,0.0,0.0,0.5667084455490112,0,
dev-p00-zigzag-s0,0,zigzag,0,10,0.09421922266483307,0.0664451827242525,0.09523809523809523,0.1607084423303604,,0.4527013599872589,0.0,0.5723456740379333,3,1.431511402130127
dev-p00-zigzag-s1,0,zigzag,1,-1,,0.20257234726688103,0.2631578947368421,0.209066241979599,,0.0,0.0,0.5633490085601807,0,
