trial,method,split,prompt_id,melody,seed,coherence_mlsp,voiced_cov,coherence_w2s,chroma_cos,clap,coherence_firstnote,n_updates,first_step,last_step,mean_lam,runtime_s,peak_vram_gb
test-p00-ascending-s0,mlsp,test,0,ascending,0,0.23322683706070288,0.9098837209302325,0.21686746987951808,0.2838824987411499,0.393371045589447,0.9156626506024096,15,20,48,0.05000000000000002,3.40521502494812,6.047781467437744
test-p00-ascending-s1,mlsp,test,0,ascending,1,0.17346938775510204,0.8546511627906976,0.20253164556962025,0.3055407404899597,0.33728837966918945,0.9493670886075949,15,20,48,0.05000000000000002,3.173677682876587,6.053064346313477
test-p00-ascending-s2,mlsp,test,0,ascending,2,0.17712177121771217,0.7877906976744186,0.17721518987341772,0.28288912773132324,0.37120521068573,0.9620253164556962,15,20,48,0.05000000000000002,3.193857431411743,6.058801651000977
test-p00-descending-s0,mlsp,test,0,descending,0,0.23248407643312102,0.9127906976744186,0.21686746987951808,0.2953338325023651,0.3939659893512726,0.9156626506024096,15,20,48,0.05000000000000002,3.2323498725891113,6.053064346313477
test-p00-descending-s1,mlsp,test,0,descending,1,0.17288135593220338,0.8575581395348837,0.21518987341772153,0.27130624651908875,0.33631980419158936,0.9493670886075949,15,20,48,0.05000000000000002,3.2333319187164307,6.058801651000977
test-p00-descending-s2,mlsp,test,0,descending,2,0.1863799283154122,0.811046511627907,0.17721518987341772,0.29314151406288147,0.36349764466285706,0.9620253164556962,15,20,48,0.05000000000000002,3.235276937484741,6.064050674438477
test-p00-alternating-s0,mlsp,test,0,alternating,0,0.3835125448028674,0.9269102990033222,0.3611111111111111,0.4630604684352875,0.3928658962249756,0.9027777777777778,15,20,48,0.05000000000000002,3.242464780807495,6.058801651000977
test-p00-alternating-s1,mlsp,test,0,alternating,1,0.3969465648854962,0.8704318936877077,0.4264705882352941,0.4158226251602173,0.3366398513317108,0.9705882352941176,15,20,48,0.05000000000000002,3.344428539276123,6.047327041625977
test-p00-alternating-s2,mlsp,test,0,alternating,2,0.37656903765690375,0.7940199335548173,0.4117647058823529,0.4508720338344574,0.3636361360549927,1.0,15,20,48,0.05000000000000002,3.2143120765686035,6.052576065063477
test-p00-pedal-s0,mlsp,test,0,pedal,0,0.42142857142857143,0.813953488372093,0.3924050632911392,0.39150798320770264,0.3645712733268738,0.7848101265822784,15,20,48,0.05000000000000002,3.22933030128479,6.052576065063477
test-p00-pedal-s1,mlsp,test,0,pedal,1,0.36890243902439024,0.9534883720930233,0.37209302325581395,0.4383217692375183,0.32965803146362305,0.872093023255814,15,20,48,0.05000000000000002,3.2323451042175293,6.058801651000977
test-p00-pedal-s2,mlsp,test,0,pedal,2,0.43234323432343236,0.8808139534883721,0.45348837209302323,0.34802165627479553,0.28342533111572266,0.9534883720930233,15,20,48,0.05000000000000002,3.226222038269043,6.064538955688477
test-p00-zigzag-s0,mlsp,test,0,zigzag,0,0.23322683706070288,0.9098837209302325,0.21686746987951808,0.3262585997581482,0.3938227891921997,0.9156626506024096,15,20,48,0.05000000000000002,3.223176956176758,6.058313369750977
test-p00-zigzag-s1,mlsp,test,0,zigzag,1,0.20677966101694914,0.8575581395348837,0.25316455696202533,0.2630497217178345,0.3367232084274292,0.9493670886075949,15,20,48,0.05000000000000002,3.215437889099121,6.064538955688477
test-p00-zigzag-s2,mlsp,test,0,zigzag,2,0.25092250922509224,0.7877906976744186,0.21518987341772153,0.3086380362510681,0.36465805768966675,0.9620253164556962,15,20,48,0.05000000000000002,3.217085838317871,6.070276260375977
test-p01-ascending-s0,mlsp,test,1,ascending,0,0.26666666666666666,0.872093023255814,0.20930232558139536,0.3354021906852722,0.4498303532600403,0.9069767441860465,15,20,48,0.05000000000000002,3.2142741680145264,6.064050674438477
test-p01-ascending-s1,mlsp,test,1,ascending,1,0.27636363636363637,0.7994186046511628,0.24050632911392406,0.33064231276512146,0.45436251163482666,0.7721518987341772,15,20,48,0.05000000000000002,3.22202467918396,6.069787979125977
test-p01-ascending-s2,mlsp,test,1,ascending,2,0.1641025641025641,0.5668604651162791,0.13846153846153847,0.3160039484500885,0.46446824073791504,0.6461538461538462,15,20,48,0.05000000000000002,3.219547748565674,6.076013565063477
test-p01-descending-s0,mlsp,test,1,descending,0,0.26490066225165565,0.877906976744186,0.22093023255813954,0.32702893018722534,0.4478362798690796,0.9069767441860465,15,20,48,0.05000000000000002,3.2221341133117676,6.070276260375977
test-p01-descending-s1,mlsp,test,1,descending,1,0.2545454545454545,0.7994186046511628,0.21518987341772153,0.32321134209632874,0.44033175706863403,0.7721518987341772,15,20,48,0.05000000000000002,3.2146549224853516,6.075525283813477
test-p01-descending-s2,mlsp,test,1,descending,2,0.13846153846153847,0.5668604651162791,0.23529411764705882,0.33777788281440735,0.46055781841278076,0.6323529411764706,15,20,48,0.05000000000000002,3.218863010406494,6.081750869750977
test-p01-alternating-s0,mlsp,test,1,alternating,0,0.3794466403162055,0.840531561461794,0.4,0.48060888051986694,0.4639347195625305,0.92,15,20,48,0.05000000000000002,3.2156004905700684,6.087488174438477
test-p01-alternating-s1,mlsp,test,1,alternating,1,0.3574468085106383,0.7807308970099668,0.31343283582089554,0.4348079562187195,0.441646933555603,0.7611940298507462,15,20,48,0.05000000000000002,3.214799165725708,6.075525283813477
test-p01-alternating-s2,mlsp,test,1,alternating,2,0.2792207792207792,0.5116279069767442,0.14285714285714285,0.3625914752483368,0.4671265482902527,0.625,15,20,48,0.05000000000000002,3.2176005840301514,6.081262588500977
test-p01-pedal-s0,mlsp,test,1,pedal,0,0.5186335403726708,0.936046511627907,0.5116279069767442,0.6099887490272522,0.49590688943862915,0.011627906976744186,15,20,48,0.05000000000000002,3.2192506790161133,6.087488174438477
test-p01-pedal-s1,mlsp,test,1,pedal,1,0.5416666666666666,0.8372093023255814,0.4358974358974359,0.5767298936843872,0.48103195428848267,0.46153846153846156,15,20,48,0.05000000000000002,3.2226192951202393,6.081750869750977
test-p01-pedal-s2,mlsp,test,1,pedal,2,0.4818181818181818,0.9593023255813954,0.4880952380952381,0.4194164276123047,0.3082515001296997,1.0,15,20,48,0.05000000000000002,3.2099769115448,6.086999893188477
test-p01-zigzag-s0,mlsp,test,1,zigzag,0,0.2747603833865815,0.9098837209302325,0.23255813953488372,0.3696801960468292,0.4657551646232605,0.9302325581395349,15,20,48,0.05000000000000002,3.2212941646575928,6.093225479125977
test-p01-zigzag-s1,mlsp,test,1,zigzag,1,0.27692307692307694,0.7558139534883721,0.30985915492957744,0.40648844838142395,0.45959579944610596,0.8450704225352113,15,20,48,0.05000000000000002,3.225470781326294,6.087488174438477
test-p01-zigzag-s2,mlsp,test,1,zigzag,2,0.22959183673469388,0.5697674418604651,0.16176470588235295,0.3041706383228302,0.46316492557525635,0.6029411764705882,15,20,48,0.05000000000000002,3.2160556316375732,6.092737197875977
test-p02-ascending-s0,mlsp,test,2,ascending,0,0.14144736842105263,0.8837209302325582,0.12345679012345678,0.2533024549484253,0.30432844161987305,0.6172839506172839,15,20,48,0.05000000000000002,3.2131707668304443,6.098474502563477
test-p02-ascending-s1,mlsp,test,2,ascending,1,0.275,0.9302325581395349,0.2261904761904762,0.2941432595252991,0.2828589677810669,0.9285714285714286,15,20,48,0.05000000000000002,3.220548152923584,6.104700088500977
test-p02-ascending-s2,mlsp,test,2,ascending,2,0.24271844660194175,0.8982558139534884,0.23076923076923078,0.36723464727401733,0.2506883144378662,0.6666666666666666,15,20,48,0.05000000000000002,3.227670669555664,6.093225479125977
test-p02-descending-s0,mlsp,test,2,descending,0,0.13043478260869565,0.8691860465116279,0.08333333333333333,0.22279304265975952,0.29770493507385254,0.44047619047619047,15,20,48,0.05000000000000002,3.216341257095337,6.098474502563477
test-p02-descending-s1,mlsp,test,2,descending,1,0.278125,0.9302325581395349,0.23809523809523808,0.2734634280204773,0.29201871156692505,0.9047619047619048,15,20,48,0.05000000000000002,3.237783908843994,6.104700088500977
test-p02-descending-s2,mlsp,test,2,descending,2,0.3096774193548387,0.9011627906976745,0.2948717948717949,0.369404137134552,0.2533520758152008,0.6666666666666666,15,20,48,0.05000000000000002,3.2409849166870117,6.098962783813477
