path,melody,cond,prompt
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt1_alternating_baseline.wav,alternating,baseline,prompt1
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt1_alternating_combined.wav,alternating,combined,prompt1
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt1_alternating_itc.wav,alternating,itc,prompt1
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt1_alternating_probe_high.wav,alternating,probe_0.1,prompt1
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt1_alternating_probe_low.wav,alternating,probe_0.03,prompt1
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt1_alternating_probe_mid.wav,alternating,probe_0.05,prompt1
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt1_alternating_probe_strong.wav,alternating,probe_0.2,prompt1
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt1_ascending_baseline.wav,ascending,baseline,prompt1
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt1_ascending_combined.wav,ascending,combined,prompt1
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt1_ascending_itc.wav,ascending,itc,prompt1
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt1_ascending_probe_high.wav,ascending,probe_0.1,prompt1
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt1_ascending_probe_low.wav,ascending,probe_0.03,prompt1
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt1_ascending_probe_mid.wav,ascending,probe_0.05,prompt1
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt1_ascending_probe_strong.wav,ascending,probe_0.2,prompt1
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt1_descending_baseline.wav,descending,baseline,prompt1
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt1_descending_combined.wav,descending,combined,prompt1
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt1_descending_itc.wav,descending,itc,prompt1
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt1_descending_probe_high.wav,descending,probe_0.1,prompt1
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt1_descending_probe_low.wav,descending,probe_0.03,prompt1
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt1_descending_probe_mid.wav,descending,probe_0.05,prompt1
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt1_descending_probe_strong.wav,descending,probe_0.2,prompt1
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt2_alternating_baseline.wav,alternating,baseline,prompt2
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt2_alternating_combined.wav,alternating,combined,prompt2
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt2_alternating_itc.wav,alternating,itc,prompt2
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt2_alternating_probe_high.wav,alternating,probe_0.1,prompt2
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt2_alternating_probe_low.wav,alternating,probe_0.03,prompt2
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt2_alternating_probe_mid.wav,alternating,probe_0.05,prompt2
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt2_alternating_probe_strong.wav,alternating,probe_0.2,prompt2
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt2_ascending_baseline.wav,ascending,baseline,prompt2
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt2_ascending_combined.wav,ascending,combined,prompt2
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt2_ascending_itc.wav,ascending,itc,prompt2
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt2_ascending_probe_high.wav,ascending,probe_0.1,prompt2
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt2_ascending_probe_low.wav,ascending,probe_0.03,prompt2
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt2_ascending_probe_mid.wav,ascending,probe_0.05,prompt2
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt2_ascending_probe_strong.wav,ascending,probe_0.2,prompt2
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt2_descending_baseline.wav,descending,baseline,prompt2
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt2_descending_combined.wav,descending,combined,prompt2
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt2_descending_itc.wav,descending,itc,prompt2
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt2_descending_probe_high.wav,descending,probe_0.1,prompt2
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt2_descending_probe_low.wav,descending,probe_0.03,prompt2
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt2_descending_probe_mid.wav,descending,probe_0.05,prompt2
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt2_descending_probe_strong.wav,descending,probe_0.2,prompt2
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_alternating_baseline.wav,alternating,baseline,prompt3
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_alternating_combined.wav,alternating,combined,prompt3
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_alternating_itc.wav,alternating,itc,prompt3
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_alternating_probe_high.wav,alternating,probe_0.1,prompt3
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_alternating_probe_low.wav,alternating,probe_0.03,prompt3
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_alternating_probe_mid.wav,alternating,probe_0.05,prompt3
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_alternating_probe_strong.wav,alternating,probe_0.2,prompt3
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_ascending_baseline.wav,ascending,baseline,prompt3
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_ascending_combined.wav,ascending,combined,prompt3
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_ascending_itc.wav,ascending,itc,prompt3
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_ascending_probe_high.wav,ascending,probe_0.1,prompt3
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_ascending_probe_low.wav,ascending,probe_0.03,prompt3
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_ascending_probe_mid.wav,ascending,probe_0.05,prompt3
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_ascending_probe_strong.wav,ascending,probe_0.2,prompt3
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_descending_baseline.wav,descending,baseline,prompt3
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_descending_combined.wav,descending,combined,prompt3
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_descending_itc.wav,descending,itc,prompt3
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_descending_probe_high.wav,descending,probe_0.1,prompt3
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_descending_probe_low.wav,descending,probe_0.03,prompt3
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_descending_probe_mid.wav,descending,probe_0.05,prompt3
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_descending_probe_strong.wav,descending,probe_0.2,prompt3
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt4_alternating_baseline.wav,alternating,baseline,prompt4
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt4_alternating_combined.wav,alternating,combined,prompt4
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt4_alternating_itc.wav,alternating,itc,prompt4
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt4_alternating_probe_high.wav,alternating,probe_0.1,prompt4
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt4_alternating_probe_low.wav,alternating,probe_0.03,prompt4
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt4_alternating_probe_mid.wav,alternating,probe_0.05,prompt4
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt4_alternating_probe_strong.wav,alternating,probe_0.2,prompt4
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt4_ascending_baseline.wav,ascending,baseline,prompt4
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt4_ascending_combined.wav,ascending,combined,prompt4
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt4_ascending_itc.wav,ascending,itc,prompt4
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt4_ascending_probe_high.wav,ascending,probe_0.1,prompt4
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt4_ascending_probe_low.wav,ascending,probe_0.03,prompt4
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt4_ascending_probe_mid.wav,ascending,probe_0.05,prompt4
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt4_ascending_probe_strong.wav,ascending,probe_0.2,prompt4
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt4_descending_baseline.wav,descending,baseline,prompt4
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt4_descending_combined.wav,descending,combined,prompt4
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt4_descending_itc.wav,descending,itc,prompt4
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt4_descending_probe_high.wav,descending,probe_0.1,prompt4
